Case Number,Date,Year,Type,Country,Activity,Sex ,Age,Injury,Fatal (Y/N),Time,Species ,original order
1955.07.15,15-Jul-55,1955,Unprovoked,MONTENEGRO,Swimming,M,,FATAL,Y,,"White shark, 6.5 m ",1927
1955.07.07,07-Jul-55,1955,Unprovoked,YEMEN,Swimming,F,,"FATAL, back lacerated, arm & leg severed  ",Y,,2.4 m [8']  shark,1926
1955.05.08,08-May-55,1955,Provoked,USA,Spearfishing,M,28,Diver hit shark & right forearm slightly injured PROVOKED INCIDENT,N,,2 m [6.75'] shark,1925
1955.05.00,May-55,1955,Unprovoked,PAPUA NEW GUINEA,Spearfishing,M,,"Right forearm severely lacerated, left arm & hand lacerated",N,Midday.,,1924
1955.04.13.R,Reported 13-Apr-1955,1955,Unprovoked,PAPUA NEW GUINEA,Spearfishing or fishing,M,,Left shoulder bitten,N,,6' shark,1923
1955.04.12,12-Apr-55,1955,Unprovoked,PAPUA NEW GUINEA,Spearfishing,M,,No injury. Shark took string of fish then struck canoe,N,,6' shark,1922
1955.04.00,Apr-55,1955,Unprovoked,USA,"Fishing from boat, Kaimamla",M,,Hand bitten,N,,,1921
1955.03.09,09-Mar-55,1955,Unprovoked,AUSTRALIA,Body surfing,M,22,FATAL,Y,18h00,,1920
1955.03.00.b,Mar-55,1955,Unprovoked,PAPUA NEW GUINEA,Swimming with speared fish,M,,Left leg bitten,N,,"""small brown-colored shark""",1919
1955.03.00.a,Mar-55,1955,Provoked,AUSTRALIA,"Competing in U/W endurance record, standing beside drum in 10' of water",M,25,Leg of wetsuit torn after spear fired at shark  PROVOKED INCIDENT,N,11h55,,1918
1955.02.10,10-Feb-55,1955,Unprovoked,USA,Scuba diving,M,,"No injury, shark bumped diver's face",N,,"Leopard shark, 3' Triakis semifasciata, identified by J.W. DeWitt (1955)",1917
1955.02.06,06-Feb-55,1955,Unprovoked,USA,Spearfishing,M,19,"Swimfin & 2 wool socks removed by shark, suit torn",N,12h00,"White shark, 5 m to 6 m [16.5' to 20] ",1916
1955.02.05,05-Feb-55,1955,Unprovoked,AUSTRALIA,Swimming,M,25,"FATAL, legs bitten ",Y,14h35,3.6 m  white shark  (or bronze whaler),1915
1955.02.04,04-Feb-55,1955,Unprovoked,INDIA,Fishing,M,25,Leg bitten,N,,,1914
1955.02.01.,01-Feb-55,1955,Boating,AUSTRALIA,Rowing,,,"No injury to occupants; shark grabbed oar, vaulted over scull",N,,,1913
1955.02.00,Feb-55,1955,Boating,AUSTRALIA,Rowing toward snapper grounds,,,"No injury to occupants, 6 sharks charged boat",N,,4 m [13'] shark x 6,1912
1955.01.17,17-Jan-55,1955,Unprovoked,AUSTRALIA,Hunting lobsters in 2.4 m of water,M,13,"FATAL, anterior left leg & right calf bitten, no tissue lost  ",Y,14h30,"Bronze whaler shark,3.7 m [12'] ",1911
1955.01.15,15-Jan-55,1955,Unprovoked,SOUTH AFRICA,Crossing the bay at the ford,M,,"FATAL, leg bitten ",Y,Afternoon,,1910
1955.00.00.f,1955,1955,Unprovoked,USA,,,,No details,UNKNOWN,,,1909
1955.00.00.d,1955,1955,Provoked,CUBA,Fishing,M,,Forearm slashed wrist to elbow by hooked shark he was trying to club to death  PROVOKED INCIDENT,N,,"""a little shark""",1908
1955.00.00.e,1955,1955,Unprovoked,MADAGASCAR,Standing in knee-deep water,M,16,FATAL,Y,15h00,,1907
1955.00.00.c,1955,1955,Invalid,USA,Swimming,M,,Right leg bitten,N,,Bull shark,1906
1955.00.00.b,Ca. 1955 ,1955,Unprovoked,COLUMBIA,Spearfishing,M,12,Swim fin & foot bitten,N,,1.5 m [5'] shark,1905
1955.00.00.a,1955,1955,Unprovoked,PAPUA NEW GUINEA,,M,,Back bitten,N,,,1904
1954.12.29,29-Dec-54,1954,Unprovoked,AMERICAN SAMOA,Dived overboard & was swimming near stern of trawler,M,27,FATAL,Y,,,1903
1954.12.11,11-Dec-54,1954,Unprovoked,AUSTRALIA,Swimming,M,23,FATAL,Y,11h00,,1902
1954.12.09,09-Dec-54,1954,Unprovoked,PAPUA NEW GUINEA,Swimming near canoe,M,,"FATAL, abdomen & thigh bitten",Y,13h20,,1901
1954.12.04,04-Dec-54,1954,Unprovoked,SOUTH AFRICA,Swimming,M,16,Shallow lacerations on torso,N,11h00,,1900
1954.11.20,20-Nov-54,1954,Unprovoked,USA,Spearfishing,M,,Shoulder bitten,N,15h00,"Blacktip reef shark, 1.5 m [5'] ",1899
1954.10.07,07-Oct-54,1954,Sea Disaster,USA,"American freighter Mormackite, bound from Buenos Aires for Baltimore, capsized & sank in heavy seas",M,,Rescue aircraft saw bodies in the water being bitten by sharks. One survivor saw a shark take off a man’s leg & another reported that the second cook was killed by a shark,Y,,,1898
1954.10.06,06-Oct-54,1954,Provoked,UNITED KINGDOM,Fishing  (trawling),M,62,Arm broken by tail of netted shark PROVOKED INCIDENT,N,,20' shark,1897
1954.10.02.b,02-Oct-54,1954,Boating,CROATIA,Boating,,,No details,UNKNOWN,,"White shark, 5.5 m [18']",1896
1954.10.02.a,02-Oct-54,1954,Invalid,JAPAN,,M,13,Body found in gut of shark,Y,,"White shark, 2000-lb",1895
1954.09.21,21-Sep-54,1954,Unprovoked,USA,Swimming,M,35,Minor bruises & abrasions on leg,N,,1.5 m [5'] shark,1894
1954.09.15,15-Sep-54,1954,Unprovoked,HONG KONG,Swimming,M,20,"FATAL, leg severely bitten",Y,,,1893
1954.09.04,04-Sep-54,1954,Unprovoked,AUSTRALIA,"Spearfishing, hunting crayfish",M,35,"FATAL, after being bitten by shark, he was picked up by 85' trochus vessel Toorah that wrecked. His wounds reopened & he died ",Y,,9' shark,1892
1954.08.19,19955,1954,Unprovoked,ITALY,Spearfishing,M,27,Abdomen injured,N,,,1891
1954.08.12.b,12-Aug-54,1954,Provoked,CUBA,Spearfishing,M,,Knee bitten by shark that his dive buddy had shot  PROVOKED INCIDENT,N,,"Nurse shark, 58"", 34-lb ",1890
1954.08.12.a,12-Aug-54,1954,Provoked,CUBA,Spearfishing,M,,Right thigh & left calf injured by speared shark  PROVOKED INCIDENT,N,,"Nurse shark, 58"", 34-lb ",1889
1954.07.30,30-Jul-54,1954,Unprovoked,ECUADOR,"Tuna fishing, standing on stern platform that was submerged by waves",M,34,4 lacerations on dorsum of right foot ,N,,,1888
1954.07.28,28-Jul-54,1954,Unprovoked,SINGAPORE,Closed circuit diving (submerged). Diving to recover jettisoned packets of opium for police,M,28,"FATAL, abdomen, buttock, right thigh & hands bitten ",Y,,,1887
1954.07.27,27-Jul-54,1954,Boating,ITALY,Fishing trawler Flavio Gioia ,M,,No injury to occupants. Shark tore nets & trawl and struck boat repeatedly,UNKNOWN,Night,5m shark,1886
1954.07.15,15-Jul-54,1954,Unprovoked,THE BALKANS,Swimming,M,,FATAL,Y,21h00,,1885
1954.07.04.R,Reported 04-Jul-1954,1954,Unprovoked,USA,,,,Small wound on upper thigh,N,,"Nurse shark, 2.5' ",1884
1954.07.03,03-Jul-54,1954,Unprovoked,BERMUDA,Swimming,M,22,"Left thigh bitten, chest lacerated  & defense wounds on foot, fingers and hands",N,,"2.4 m [8'] shark, possibly a dusky shark",1883
1954.07.02.R,Reported 02-Jul-1954,1954,Unprovoked,GREECE,Swimming,M,,FATAL,Y,,,1882
1954.07.01.R,Reported 01-Jul-1954,1954,Invalid,CROATIA,,,,Human remains found in shark,UNKNOWN,,,1881
1954.06.29,29-Jun-54,1954,Provoked,USA,Grabbed shark & threw it on deck,M,35,Right elbow & forearm lacerated  PROVOKED INCIDENT,N,,,1880
1954.06.27,27-Jun-54,1954,Unprovoked,AUSTRALIA,Pearl diving from lugger Whyalla,M,30,"Shark bit right arm & shoulder, then Aken says, he ""knocked out"" the shark",N,16h30,2.4 m [8']  shark,1879
1954.06.00,Jun-54,1954,Unprovoked,HONG KONG,Bathing alongside ship,M,,"FATAL, thigh bitten ",Y,,,1878
1954.05.26.R,Reported 26-May-1954,1954,Unprovoked,PAPUA NEW GUINEA,"Fishing / cleaning fish, dived into water to retrieve a lost fish",M,,"FATAL, decapitated ",Y,,,1877
1954.05.00,May-54,1954,Unprovoked,PAPUA NEW GUINEA,,,,Foot severed,N,,,1876
1954.04.08,08-Apr-54,1954,Invalid,USA,Fishing from shore,M,,"Body recovered, mutilated by shark/s",Y,,,1875
1954.04.00,Apr-54,1954,Provoked,SUDAN?,Spearfishing,M,,"Speared small shark, shark bit his thigh and/or buttock PROVOKED INCIDENT",N,,,1874
1954.02.27,27-Feb-54,1954,Unprovoked,AUSTRALIA,Swimming,M,23,"FATAL, right thigh bitten ",Y,17h15,,1873
1954.01.30,30-Jan-54,1954,Unprovoked,AUSTRALIA,Swimming,M,,Abrasions to arm,N,,,1872
1954.01.22.b,22-Jan-54,1954,Unprovoked,AUSTRALIA,Spearfishing,M,30,Severe laceration to arm,N,,,1871
1954.01.22.a,22-Jan-54,1954,Unprovoked,ARGENTINA,Floating,M,18,"Arm & left calf bitten, right leg lacerated",N,13h05,White shark tooth fragment recovered from ankle & identified by Dr. W. I. Follett,1870
1954.01.15,15-Jan-54,1954,Unprovoked,PAPUA NEW GUINEA,Crouching in the water,M,26,Back & thighs lacerated,N,Late afternoon,14' shark,1869
1954.00.00.e,1954,1954,Unprovoked,IRAN,,M,,FATAL,Y,,Bull shark suspected due to freshwater habitat,1868
1954.00.00.d,1954,1954,Unprovoked,MARTINIQUE,,M,,"Chest bruised, after shark clamped its jaws on his chest ",N,,"Nurse shark, 1.8 m [6'] ",1867
1954.00.00.c,1954,1954,Unprovoked,MEXICO,Free diving,M,,FATAL,Y,,,1866
1954.00.00.b,1954,1954,Unprovoked,USA,Fishing,M,,Bitten on foot,N,,a small shark',1865
1954.00.00.a,1954,1954,Unprovoked,PAPUA NEW GUINEA,Swimming,M,12,Leg & abdomen lacerated,N,,,1864
1954.00.00 g,1954 (same day as  1954.00.00.f),1954,Unprovoked,IRAN,,F,,FATAL,Y,,Bull shark suspected due to freshwater habitat,1863
1954.00.00 f,1954 (same day as  1954.00.00.f),1954,Unprovoked,IRAN,,M,,Survived,N,,Bull shark suspected due to freshwater habitat,1862
1953.12.30,30-Dec-53,1953,Unprovoked,SOUTH AFRICA,Swimming,F,,Left calf lacerated,N,Morning,Said to involve a >4 m [13'] shark,1861
1953.12.22,22-Dec-53,1953,Unprovoked,SOUTH AFRICA,Swimming,M,23,Lacerations to arm,N,,,1860
1953.12.13,13-Dec-53,1953,Unprovoked,AUSTRALIA,Swimming or wading out  to warn bathers that a shark had been seen,M,16,Bruised shoulder chest & foot,N,12h00,,1859
1953.12.00,Dec-53,1953,Unprovoked,AUSTRALIA,Surf skiing,M,,"No Injury, shark charged surfski",N,,3.7 [12'] shark,1858
1953.10.00,Oct-53,1953,Provoked,AUSTRALIA,,M,,"Hit by tail of speared shark, fell & hit head on rock & out cold for 30 minutes  PROVOKED INCIDENT",N,,,1857
1953.09.27,27-Sep-53,1953,Unprovoked,PHILIPPINES,,M,23,FATAL,Y,,,1856
1953.09.20.R,Reported 20-Sep-1953,1953,Unprovoked,USA,Scuba diving,M,,No injury,N,,,1855
1953.09.18,18-Sep-53,1953,Sea Disaster,USA,Aircaft exploded,M,,Hand bitten,N,,,1854
1953.09.03.R,Reported 03-Sep-1953,1953,Unprovoked,USA,Surf fishing,M,15,Laceration to right lower leg,N,,80-lb sand shark,1853
1953.09.02,02-Sep-53,1953,Unprovoked,USA,Crabbing,M,,Leg & foot bitten,N,,"Hammerhead shark, 1.5 m [5'] ",1852
1953.08.00,Aug-53,1953,Invalid,MEXICO,Free diving,M,19,No injury,N,17h30,"""Tintorero""",1851
1953.07.31,31-Jul-53,1953,Unprovoked,MEXICO,Wading,F,18,FATAL,Y,,,1850
1953.07.26,26-Jul-53,1953,Unprovoked,USA,Spearfishing,M,15,"FATAL, thigh bitten",Y,09h15,3 m [10'] shark seen in vicinity,1849
1953.07.16,16-Jul-53,1953,Provoked,USA,Fishing from market fishboat Sea Spray,M,,Arm bitten by hooked shark PROVOKED INCIDENT,N,,,1848
1953.07.15,15-Jul-53,1953,Unprovoked,USA,Standing,F,26,Lower left leg severely bitten,N,,,1847
1953.07.11,11-Jul-53,1953,Sea Disaster,PACIFIC OCEAN,Royal Hawaiian skymaster DC-6B aircraft went down with  58 passenger & crew,,,Recuers fought sharks for the bodies,N,,,1846
1953.07.09,09-Jul-53,1953,Boating,CANADA,Fishing for lobsters,M,,Burns drowned as result of attack on boat,N,,"White shark, 3.7 m [12'], 500 to 500-kg [1,200 lb], identified by W. C. Shroeder based on tooth fragment ebedded in gunwale",1845
1953.07.04,04-Jul-53,1953,Unprovoked,USA,Accidentally dragged overboard from the sampan Holokahana into school of yellowfin tuna,M,,"Shark made 3 passes at him, lacerating his calf, shin and ankle ",N,08h00,,1844
1953.07.00,01-Jul-53,1953,Unprovoked,PANAMA,Retrieving bait box that had fallen overboard,M,19,Hand severely bitten,N,,,1843
1953.06.00,Jun-53,1953,Provoked,AUSTRALIA,Landing hooked shark in boat,M,,Right forearm & hand bitten PROVOKED INCIDENT,N,,"2 m [6'9""] shark ",1842
1953.04.07,07-Apr-53,1953,Boating,AUSTRALIA,,,,"No injury to occupant. As engine started, shark hit boat, breaking one of boat’s ribs in 3 places & stoving in 2 planks",N,,,1841
1953.04.04,04-Apr-53,1953,Unprovoked,USA,Swimming,F,19,Lacerations to right foot,N,Afternoon,,1840
1953.04.00.b,Apr-53,1953,Unprovoked,IRAN,,M,,Arm severed,N,,"1.5 m [5'] shark, probable bull shark",1839
1953.04.00.a,Apr-53,1953,Unprovoked,IRAN,Swimming in midriver near sewage outlet & 400 m from a slaughterhouse,M,,Right forearm severed at the elbow,N,,"1.5 m [5'] shark, probable bull shark",1838
1953.03.22,Mar-53,1953,Unprovoked,AUSTRALIA,Spearfishing,M,23,Arm lacerated,N,,,1837
1953.03.19.R,Reported 19-Mar-1953,1953,Unprovoked,AUSTRALIA,Spearfishing,M,,Abrasion,N,,8' shark,1836
1953.03.00.c,Mar-53,1953,Sea Disaster,INDIAN OCEAN,Adrift on a 4'  raft for 32 days,,,Sharks attacked raft & consumed the body of Ericsson after he died,Y,,,1835
1953.03.00.a,Mar-53,1953,Unprovoked,PAPUA NEW GUINEA,Went over side of boat at trochus ground,M,,"FATAL, arm & leg severed & shark smashed at his body with its tail  ",Y,,Tiger shark,1834
1953.02.18,18-Feb-53,1953,Provoked,USA,Bitten while cutting shark from net,M,,Hand bitten  PROVOKED INCIDENT  ,N,,,1833
1953.02.15,15-Feb-53,1953,Unprovoked,AUSTRALIA,Spearfishing,M,25,"Shark tore off face mask, diver’s face, nose & chin lacerated",N,18h00,Wobbegong shark,1832
1953.02.00,Feb-53,1953,Unprovoked,AUSTRALIA,Spearfishing,M,,Foot bitten,N,,Wobbegong shark,1831
1953.01.20,20-Jan-53,1953,Provoked,AUSTRALIA,Fishing,M,61,Finger bitten by hooked shark PROVOKED INCIDENT,N,,,1830
1953.01.08,08-Jan-53,1953,Boating,AUSTRALIA,Fishing,,MAKE LINE GREEN,"No injury to occupant, shark charged boat",N,Afternoon,10' to 12' shark,1829
1953.00.00.c,1953,1953,Unprovoked,AUSTRALIA,Spearfishing,M,,Kneecap bitten,N,,Wobbegong shark,1828
1953.00.00.b,1953,1953,Unprovoked,PAPUA NEW GUINEA,Washing,M,,"FATAL, torso bitten",Y,,,1827
1953.00.00.a,1953,1953,Unprovoked,USA,Standing,F,,Leg lacerated thigh to ankle,N,,,1826
1952.12.24,24-Dec-52,1952,Unprovoked,AUSTRALIA,Lying prone on surfboard,M,,"No injury, board bumped by shark",N,,,1825
1952.12.21,21-Dec-52,1952,Unprovoked,AUSTRALIA,"Fishing, setting nets",M,25,Bitten on thigh and buttocks,N,"""After dark""",2.4 m [8'] shark,1824
1952.12.14,14-Dec-62,1952,Invalid,GUATEMALA,Air Disaster,F,,It is probable that all onboard (2 men & 2 women) died when the plane crashed into the sea & her body was scavenged by a shark,Y,,,1823
1952.08.04,04-Aug-52,1952,Provoked,ITALY,Fishing,M,17,Bitten by hooked shark                      PROVOKED INCIDENT,N,,200-lb shark,1822
1952.08.03,03-Aug-52,1952,Unprovoked,USA,Swimming,M,,"FATAL, disappeared while swimming, shark bite found on right side of body",Y,,,1821
1952.12.07,07-Dec-52,1952,Unprovoked,USA,Body surfing & treading water,M,17,"FATAL, leg lacerated  ",Y,14h00,"White shark,4.6 m [15'] ",1820
1952.12.03,03-Dec-52,1952,Unprovoked,USA,Swimming from fishing boat setting nets,M,40,"FATAL, left arm severed below the elbow ",Y,,>6.7 m [22']  shark,1819
1952.10.12,12-Oct-52,1952,Unprovoked,PAPUA NEW GUINEA,Fishing,M,,Right thigh bitten ,N,,,1818
1952.08.06,06-Aug-52,1952,Invalid,SOUTH AFRICA,,M,18,"Possibly drowned, remains found days later in shark’s gut",Y,,"Zambesi shark, 113-kg [249-lb] female ",1817
1952.08.05,05-Aug-52,1952,Provoked,ITALY,Fishing,,19,Multiple injuries PROVOKED INCIDENT,Y,02h00,2m shark,1816
1952.07.27.d,27-Jul-52,1952,Boating,USA,Fishing for trout ,,,No injury to occupants. Shark chasing fish leapt into skiff & flopped out,N,,"Hammerhead shark, 5' ",1815
1952.07.27.c,27-Jul-52,1952,Provoked,USA,Fishing,M,43,Finger bitten by hooked shark PROVOKED INCIDENT,N,,a small shark',1814
1952.07.27.b,27-Jul-52,1952,Provoked,USA,Fishing,M,34,Thumb bitten by hooked shark PROVOKED INCIDENT,N,,a small shark',1813
1952.07.27.a,27-Jul-52,1952,Sea Disaster,USA,Boat exploded,M,,FATAL & some of the survivors were bitten by sharks  ,Y,,,1812
1952.07.13,13-Jul-52,1952,Provoked,USA,Fishing,M,34,Part of hand removed by shark he had caught PROVOKED INCIDENT,N,,,1811
1952.07.05,05-Jul-52,1952,Unprovoked,USA,"Spearfishing, carrying fish on spear",M,,Leg lacerated & bone fractured ,N,11h00,"Tiger shark, 1.5 m [5'] ",1810
1952.05.27,27-May-52,1952,Unprovoked,USA,Swimming on surface,M,,Foot & swimfin bitten,N,10h00 or 14h00,"White shark, 2 m to 4 m [6'9"" to 13'] ",1809
1952.05.07.R,Reported 07-May-1952,1952,Unprovoked,AUSTRALIA,"Fishing, standing in water washing fish",M,,Lacerations to 2 fingers & knuckles abraded,N,,"Carpet shark, 5' ",1808
1952.05.00,May-52,1952,Unprovoked,INDIA,"Fishing, standing in water next to purse net",M,,Lower leg lacerated,N,,"""A 2' (0.6 m) brown shark""",1807
1952.04.06,06-Apr-52,1952,Boating,AUSTRALIA,Fishing for white sharks,,,No injury to fisherman Alf Dean & other occupants;,N,Morning,"White shark, 15'3"", 2,333-lb ",1806
1952.04.00,Apr-52,1952,Provoked,SUDAN,Spearfishing,M,,Right forearm lacerated by speared shark PROVOKED INCIDENT,N,P.M.,"a ""small slim brown shark""",1805
1952.03.30,30-Mar-52,1952,Unprovoked,NETHERLANDS ANTILLES,Went to aid of child being menaced by the shark,M,,"Buttock bitten, tissue removed",N,,"Bull shark, 2.7 m [9'] was captured & dragged on the sand where tissue taken from Eggink was found in its gut. Species identification  was made by S. Springer based on 4 photographs of the shark. ",1804
1952.01.23,23-Jan-52,1952,Provoked,MAURITIUS,"Spearfishing, speared a small shark",M,,Right foot lacerated by a larger shark. Lost several toes  PROVOKED INCIDENT,N,,,1803
1952.01.07,07-Jan-52,1952,Unprovoked,AUSTRALIA,Surfing,M,,Bitten on left calf and ankle,N,,8' shark,1802
1952.00.00.e,1952-1954,1952,Unprovoked,LIBERIA,"Diving, recovering fish killed by dynamite",M,,FATAL,Y,,,1801
1952.00.00.d,1952,1952,Unprovoked,PAPUA NEW GUINEA,Spearfishing,M,,"Arm bitten, surgically amputated",N,,,1800
1952.00.00.c,1952,1952,Unprovoked,PAPUA NEW GUINEA,Spearfishing,M,,"FATAL,  ""No remains""",Y,,"""Attacked by a number of sharks""",1799
1952.00.00.b,1952,1952,Unprovoked,PAPUA NEW GUINEA,Spearfishing,M,27,"FATAL, lower abdomen removed ",Y,,,1798
1952.00.00.a,1952,1952,Unprovoked,USA,Swimming,M,,"FATAL, groin bitten ",Y,,,1797
1951.12.21,21-Dec-51,1951,Unprovoked,MOZAMBIQUE,Swimming,M,15,"FATAL, right leg, thighs & hands bitten  ",Y,,,1796
1951.12.16,16-Dec-51,1951,Provoked,AUSTRALIA,Spearfishing,M,18,Speared shark lacerated left leg above ankle  PROVOKED INCIDENT,N,,"Wobbegong shark, 1.8 m [6'] ",1795
1951.12.06,06-Dec-51,1951,Unprovoked,AUSTRALIA,Treading water,M,21,FATAL,Y,16h00,2.4 m [8']  shark,1794
1951.11.29,29-Nov-51,1951,Unprovoked,SOUTH AFRICA,Swimming,M,23,Thigh bruised & abraded,N,13h00,"White shark, 1.8 m [6'] ",1793
1951.11.28.b,28-Nov-51,1951,Unprovoked,JAMAICA,Fishing,M,81,Lacerations to left hand,N,,,1792
1951.11.28.a,28-Nov-51,1951,Unprovoked,SOUTH AFRICA,Treading water,M,24,"Leg severed below knee, defense wounds on hand",N,17h15,"White shark, 2.4 m [8'] ",1791
1951.11.23.R,Reported 23-Nov-1951,1951,Unprovoked,PHILIPPINES,Shipwrecked; adrift on raft for 2 days & 2 nights,M,,"FATAL, two men survived, one succumbed to shark bite & exhaustion",Y,,,1790
1951.10.22,22-Oct-51,1951,Unprovoked,AUSTRALIA,Swimming,M,42,"FATAL, leg severed, shark dragged him through hole in protective net",Y,19h10,,1789
1951.10.05,05-Oct-51,1951,Invalid,NORTH ATLANTIC OCEAN,cargo ship Southern Isle sank at 04h00,,,Sharks fed on bodies of the drowned,N,,,1788
1951.09.29,29-Sep-51,1951,Unprovoked,ITALY,Swimming,F,21,FATAL,Y,,,1787
1951.09.03.R,Reported 03-Sep-1951,1951,Unprovoked,ITALY,Fishing for squid,M,,3 fingers severed when he used his hand as bait,N,Night,,1786
1951.09.02-R,Reported 02-Sep-1951,1951,Unprovoked,AUSTRALIA,"Body found on deserted luxury yacht, 38’ Christine",M,56,"FATAL, abdominal wounds & right leg severed at the hip  ",Y,,,1785
1951.08.17.b,17-Aug-51,1951,Unprovoked,GREECE,Swimming,M,18,Injured but survived,N,,White shark,1784
1951.08.17.a,17-Aug-51,1951,Unprovoked,GREECE,Swimming,F,16,"FATAL, body not recovered Another man was also injured by the shark at same time (see below)",Y,,White shark,1783
1951.08.16.R,Reported 16-Aug-1951,1951,Unprovoked,ITALY,Diving (Hookah),M,,No injury,N,,,1782
1951.08.00,Between 01-Aug-1951 & 08-Aug-1951,1951,Unprovoked,CARIBBEAN SEA,Bathing,,,FATAL,Y,,,1781
1951.07.19.R,Reported 19-Jul-1951,1951,Unprovoked,USA,,M,13,Severe laceration to foot,N,,,1780
1951.07.11,11-Jul-51,1951,Unprovoked,PACIFIC OCEAN,Fell overboard,M,40,"""Molested by shark that nibbled his bare feet"",  rescued 30 hours later.",N,Afternoon,2.1 m [7'] shark,1779
1951.06.25,25-Jun-51,1951,Unprovoked,USA,Swept out to sea while fishing,M,,"FATAL, victim seen in shark's mouth",Y,,,1778
1951.06.00,Jun-51,1951,Unprovoked,FRENCH POLYNESIA,Spearfishing,M,39,Right thumb bitten,N,11h00,,1777
1951.05.22,22-May-51,1951,Unprovoked,MEXICO,Free diving,M,16,Lower leg severely injured,N,15h00,,1776
1951.05.09.R,Reported 09-May-1951,1951,Provoked,ITALY,,,,3 men knocked to ground by harpooned shark PROVOKED INCIDENT,N,,,1775
1951.03.26,26-Mar-51,1951,Provoked,AUSTRALIA,Fell off surf ski,M,23,Minor laceration to chest when he grabbed the shark by its tail PROVOKED INCIDENT,N,Afternoon,"Wobbegong shark, 4'",1774
1951.03.24,24-Mar-51,1951,Unprovoked,AUSTRALIA,"Fishing, casting in the surf",M,"""young""",Severe lacerations of chest & thigh,N,,5.5 m [18'] shark,1773
1951.03.15,15-Mar-51,1951,Unprovoked,SOUTH AFRICA,Body surfing,M,19,Left foot lacerated,N,12h00,,1772
1951.02.19,19-Feb-51,1951,Unprovoked,SOUTH AFRICA,Body surfing,M,31,"Leg bitten, defense wounds on hands",N,12h15,136-kg [300-lb] shark,1771
1951.02.03,03-Feb-51,1951,Unprovoked,AUSTRALIA,Spearfishing (but treading water on the surface),M,20,Shark's fin caused abrasion on his chest,N,,,1770
1951.02.01,01-Feb-51,1951,Unprovoked,AUSTRALIA,Swimming,M,14,Leg bitten,N,,1.2 m [4'] shark,1769
1951.01.21,21-Jan-51,1951,Unprovoked,SOUTH AFRICA,Swimming,M,19,"FATAL, right thigh bitten, leg severed at knee",Y,16h25,,1768
1951.01.03,03-Jan-51,1951,Invalid,AUSTRALIA,,M,,Body found after a week in the water apparently bitten by shark/s,Y,,,1767
1951.00.00,1951,1951,Unprovoked,NEW GUINEA,,,,FATAL,Y,,,1766
1950.12.31,31-Dec-50,1950,Unprovoked,AUSTRALIA,Paddling a surfboat,M,19,"No injury, shark bit oar",N,,"Nurse shark, 10' ",1765
1950.12.19.R,Reported 19-Dec-1950,1950,Unprovoked,AUSTRALIA,Swimming,,,Legs nipped,N,,"Wobbegong shark, 6'",1764
1950.12.16,16-Dec-50,1950,Unprovoked,AUSTRALIA,Treading water,M,20,"FATAL, lower abdomen severely bitten & his left leg was severed",Y,16h15,,1763
1950.11.29,29-Nov-50,1950,Provoked,AUSTRALIA,Diving ,M,17,"Minor injury to hand and groin from shark ""caught on his fishing spear"" PROVOKED INCIDENT",N,,2' shark,1762
1950.11.25,25-Nov-50,1950,Unprovoked,AUSTRALIA,Body surfing,M,21,Part of buttocks & fingers severed,N,17h15,"White shark, 3m, seen in area and hooked 3 days later",1761
1950.11.12,12-Nov-50,1950,Boating,AUSTRALIA,Paddling a canoe,M,18,"No injury to occupants, shark holed canoet",N,,10' shark,1760
1950.10.08,28-Oct-50,1950,Unprovoked,USA,Body surfing / treading water,M,31,Right leg lacerated,N,12h00,White shark,1759
1950.10.04,04-Oct-50,1950,Unprovoked,AUSTRALIA,Fishing,M,25,Lacerations to right thumb and knee,N,Night,4' shark,1758
1950.08.06,06-Aug-50,1950,Provoked,EL SALVADOR,Jerked overboard while pole fishing for tuna,M,27,Left thigh bitten by hooked shark PROVOKED INCIDENT,N,08h30,"1,100-lb shark",1757
1950.08.00,Aug-50,1950,Unprovoked,SAUDI ARABIA,Diving,M,,Tissue stripped knee to foot,N,2 hrs before sunset,,1756
1950.07.27.R,Reported 27-Jul-1950,1950,Boating,AUSTRALIA,Fishing,,,No injury to occupants,N,,17' white shark,1755
1950.07.21,21-Jul-50,1950,Unprovoked,JAPAN,Swimming,M,19,FATAL,Y,P.M.,,1754
1950.07.19,1950.07.19,1950,Provoked,ITALY,Fishing,,,Harpooned shark bit his forehead PROVOKED INCIDENT,N,,,1753
1950.07.14,15-Jul-50,1950,Unprovoked,CARIBBEAN SEA,Swept off deck of S.S.Frontenac enroute from West Indies to US,M,30,Found at 21h30 by searchlight. Had been constantly harassed by sharks & had numerous lacerations,N,18h15 to 21h30,,1752
1950.07.10,10-Jul-50,1950,Unprovoked,USA,Swimming,M,11,Laceration to leg,N,,Hammerhead shark,1751
1950.07.09,09-Jul-50,1950,Invalid,USA,,M,,Human remains found in shark,Y,,,1750
1950.07.00,Jul-50,1950,Unprovoked,USA,"Goggle-diving for seaweeds, but standing in water",M,21,Shallow lacerations on back of right thigh,N,,0.7 m [2.5'] shark,1749
1950.06.25,25-Jun-50,1950,Unprovoked,USA,Swimming ,M,16,"Gashes & lacerations on legs, foot lacerated.",N,,"""sand shark""",1748
